topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Simplification,12 + 24 / 6 * 2,16,20,18,24,B,24/6=4; 4*2=8; 12+8=20,Easy
Simplification,15% of 200 + 10,30,40,35,45,B,30 + 10 = 40,Easy
Simplification,sqrt(625) + sqrt(225),30,35,40,45,C,25 + 15 = 40,Easy
Simplification,2.5 * 4 + 0.5,10,10.5,11,11.5,B,10 + 0.5 = 10.5,Easy
Simplification,4^3 - 5^2,39,41,43,45,A,64 - 25 = 39,Easy
Simplification,(12.5 * 8) / 5 + 12,32,34,28,30,A,100/5=20; 20+12=32,Medium
Simplification,4.5 + 3.25 - 2.125,5.625,5.375,6.125,4.875,A,4.5+3.25-2.125=5.625,Medium
Simplification,sqrt(36 + 64 / 4),6,7,8,9,C,sqrt(52) approx,Medium
Simplification,120% of 50 + 20% of 120,84,74,94,64,A,60 + 24 = 84,Medium
Simplification,15^2 - 12^2 + 9,81,90,99,108,B,225-144+9 = 90,Medium
Simplification,(3/4) of (8/9) of 1200 + 450,1200,1250,1300,1350,B,800 + 450 = 1250,Hard
Simplification,25^2 + sqrt(1296) / 6 - 150,481,471,491,501,A,625+6-150=481,Hard
Simplification,45% of 1200 + X = 600. Find X.,50,60,70,80,B,540+60=600,Hard
Simplification,(0.2 * 0.2 * 0.2) + (0.04 / 0.2),0.208,0.28,0.408,0.6,A,0.008 + 0.2 = 0.208,Hard
Simplification,cbrt(216) + 12 * 2 - 15,15,18,21,24,A,6 + 24 - 15 = 15,Hard
Number System,Smallest prime number?,0,1,2,3,C,2 is the only even prime,Easy
Number System,Is 234 divisible by 3?,Yes,No,None,Both,A,2+3+4=9 (div by 3),Easy
Number System,Sum of first 10 natural numbers?,45,50,55,60,C,n(n+1)/2 = 55,Easy
Number System,Value of 0!,0,1,10,Inf,B,0! is always 1,Easy
Number System,Which is rational?,pi,sqrt(2),0.5,sqrt(3),C,0.5 is 1/2,Easy
